,Diameter,FWHM,dist,EY,EY2,VY,sigmaY,Pmiss,EL,sigma_b
97,11.0,7.0,12.0,5.087903012139689e-09,2.590741750150988e-17,2.0660440569761858e-20,1.43737401429697e-10,0.02438976959915757,8.226035232523193e-14,1.2
98,11.0,7.0,16.0,4.269904778091182e-09,1.8244390143496708e-17,1.2303329530799304e-20,1.1092037473250487e-10,0.018713870706656505,2.0902795371191932e-14,1.2
99,11.0,7.0,20.0,3.639699123418629e-09,1.3255077538616939e-17,7.667829602601476e-21,8.756614415743951e-11,0.014425853857561295,5.04620602479796e-15,1.2
100,3.0,8.0,8.0,5.44576739802903e-09,2.9693549167940335e-17,3.7166614504461037e-20,1.9278644792739203e-10,0.04544089854310869,1.0429664520200594e-12,1.2
101,3.0,8.0,10.0,4.926365490677194e-09,2.429679089697367e-17,2.771394923851517e-20,1.6647507092209084e-10,0.04036773602547592,6.101827038835307e-13,1.2
102,3.0,8.0,12.0,4.476936308706957e-09,2.006353819708049e-17,2.0579484861819032e-20,1.43455515271526e-10,0.03504671681380039,3.2280093776400217e-13,1.2
103,3.0,8.0,16.0,3.762026567026694e-09,1.4164990386529327e-17,1.2146495514672231e-20,1.1021114061052191e-10,0.02719003973829696,9.681957403417484e-14,1.2
104,3.0,8.0,20.0,3.217817031462634e-09,1.0362223395505486e-17,7.876947534486903e-21,8.87521691818679e-11,0.02265693504807052,3.76453382054815e-14,1.2
105,5.0,8.0,8.0,6.5367399088534455e-09,4.2787856782073984e-17,5.888814607663578e-20,2.4266879914120763e-10,0.05103627553055018,1.8913741209845097e-12,1.2
106,5.0,8.0,10.0,5.8803156813478325e-09,3.4620725325643804e-17,4.261281333857847e-20,2.064287124858809e-10,0.04449519939369561,1.0434629461593418e-12,1.2
107,5.0,8.0,12.0,5.321485999034791e-09,2.83496061030179e-17,3.1392865094594757e-20,1.7718031802261433e-10,0.03883256795124724,5.695034838657757e-13,1.2
108,5.0,8.0,16.0,4.4326166774772245e-09,1.9666440251105573e-17,1.8349641656343468e-20,1.354608491644116e-10,0.03072219371179065,1.8907466445107563e-13,1.2
109,5.0,8.0,20.0,3.762368057064627e-09,1.4166688089785187e-17,1.1274692964930239e-20,1.0618235712645598e-10,0.02431472712321577,6.002012549556776e-14,1.2
110,7.0,8.0,8.0,6.5578923643119165e-09,4.305991899678883e-17,5.3966734888291146e-20,2.323074146218565e-10,0.04551438182334259,1.2633176331970821e-12,1.2
111,7.0,8.0,10.0,5.906243488051328e-09,3.4922834917227466e-17,3.912277707874692e-20,1.977947852668187e-10,0.03942878624904997,6.695852387525717e-13,1.2
112,7.0,8.0,12.0,5.3426034212579615e-09,2.8572223980832357e-17,2.881266399508127e-20,1.6974293503731243e-10,0.034241060702296024,3.516326354912283e-13,1.2
113,7.0,8.0,16.0,4.45594443427066e-09,1.9872142887417774e-17,1.6702086110099536e-20,1.2923655098345643e-10,0.02639483958880238,1.011508139044715e-13,1.2
114,7.0,8.0,20.0,3.7793153403239935e-09,1.4293531566982002e-17,1.0307125373739458e-20,1.0152401377870882e-10,0.02085327441922462,3.047042500354927e-14,1.2
115,9.0,8.0,8.0,6.202607679173928e-09,3.851287387278335e-17,4.0531851035964486e-20,2.0132523695742788e-10,0.036288400333763876,5.120700472975649e-13,1.2
116,9.0,8.0,10.0,5.60147822364848e-09,3.140617571174744e-17,2.961742173930838e-20,1.720971287944932e-10,0.031189711655240267,2.5402203928201904e-13,1.2
117,9.0,8.0,12.0,5.089025765058288e-09,2.5920329356368982e-17,2.2146118941888057e-20,1.488157214204469e-10,0.027044758156745553,1.280475566562095e-13,1.2
118,9.0,8.0,16.0,4.264150376057438e-09,1.8196006663627635e-17,1.3028233996849057e-20,1.1414128962320803e-10,0.020618250726958696,3.265228017608209e-14,1.2
119,9.0,8.0,20.0,3.6289839513510846e-09,1.317754036202544e-17,8.01584286170891e-21,8.953123958545928e-11,0.015741084102443768,7.756529773794744e-15,1.2
120,11.0,8.0,8.0,5.702380476858212e-09,3.25440081004765e-17,2.686499762281193e-20,1.6390545330406775e-10,0.025695707143167452,1.1544704719328684e-13,1.2
121,11.0,8.0,10.0,5.176453207475177e-09,2.6815618756101815e-17,1.995094692177049e-20,1.4124782094521136e-10,0.02190939162824066,5.21486547077514e-14,1.2
122,11.0,8.0,12.0,4.723074987154524e-09,2.2322570078266127e-17,1.5132743981420985e-20,1.230152184951967e-10,0.0188754590003634,2.4069059203197428e-14,1.2
123,11.0,8.0,16.0,3.983052369061806e-09,1.5873752099279696e-17,9.045924590832012e-21,9.511006566516508e-11,0.0140494751918111,4.833851202971665e-15,1.2
